user_id,event_type,timestamp,age_group,subscription_plan,acquisition_channel
user_0001,signup,2024-10-03T09:14:22,25-34,monthly,paid_social
user_0001,bank_connected,2024-10-03T09:28:22,25-34,monthly,paid_social
user_0001,first_transaction_categorized,2024-10-03T09:31:05,25-34,monthly,paid_social
user_0001,first_budget_created,2024-10-03T10:02:44,25-34,monthly,paid_social
user_0002,signup,2024-10-04T14:22:11,35-44,annual,seo_organic
user_0002,bank_connected,2024-10-04T14:35:11,35-44,annual,seo_organic
user_0002,first_transaction_categorized,2024-10-04T14:37:52,35-44,annual,seo_organic
user_0002,first_budget_created,2024-10-04T15:10:03,35-44,annual,seo_organic
user_0002,net_worth_viewed,2024-10-04T15:22:03,35-44,annual,seo_organic
user_0003,signup,2024-10-05T07:55:43,25-34,monthly,referral
user_0003,bank_connected,2024-10-05T08:10:43,25-34,monthly,referral
user_0003,first_transaction_categorized,2024-10-05T08:13:01,25-34,monthly,referral
user_0004,signup,2024-10-06T11:30:09,18-24,monthly,paid_social
user_0005,signup,2024-10-07T19:48:32,25-34,annual,seo_organic
user_0005,bank_connected,2024-10-07T20:02:32,25-34,annual,seo_organic
user_0005,first_transaction_categorized,2024-10-07T20:05:14,25-34,annual,seo_organic
user_0005,first_budget_created,2024-10-07T20:31:57,25-34,annual,seo_organic
user_0005,bill_calendar_viewed,2024-10-08T09:14:57,25-34,annual,seo_organic
user_0005,credit_score_viewed,2024-10-08T09:17:33,25-34,annual,seo_organic
user_0006,signup,2024-10-08T08:12:54,35-44,annual,referral
user_0006,bank_connected,2024-10-08T08:27:54,35-44,annual,referral
user_0006,first_transaction_categorized,2024-10-08T08:30:22,35-44,annual,referral
user_0006,first_budget_created,2024-10-08T09:05:44,35-44,annual,referral
user_0006,net_worth_viewed,2024-10-08T09:18:44,35-44,annual,referral
user_0006,savings_rate_viewed,2024-10-08T09:25:11,35-44,annual,referral
user_0007,signup,2024-10-09T16:44:18,45-54,monthly,seo_organic
user_0007,bank_connected,2024-10-09T17:00:18,45-54,monthly,seo_organic
user_0007,first_transaction_categorized,2024-10-09T17:03:44,45-54,monthly,seo_organic
user_0007,first_budget_created,2024-10-09T17:38:05,45-54,monthly,seo_organic
user_0008,signup,2024-10-10T10:21:37,25-34,monthly,paid_social
user_0009,signup,2024-10-11T13:57:02,35-44,annual,seo_organic
user_0009,bank_connected,2024-10-11T14:13:02,35-44,annual,seo_organic
user_0009,first_transaction_categorized,2024-10-11T14:15:48,35-44,annual,seo_organic
user_0009,first_budget_created,2024-10-11T14:50:29,35-44,annual,seo_organic
user_0009,net_worth_viewed,2024-10-11T15:03:29,35-44,annual,seo_organic
user_0010,signup,2024-10-12T07:33:51,25-34,monthly,referral
user_0010,bank_connected,2024-10-12T07:49:51,25-34,monthly,referral
user_0010,first_transaction_categorized,2024-10-12T07:52:14,25-34,monthly,referral
user_0011,signup,2024-10-13T21:08:17,18-24,monthly,paid_social
user_0012,signup,2024-10-14T09:44:33,35-44,annual,seo_organic
user_0012,bank_connected,2024-10-14T10:00:33,35-44,annual,seo_organic
user_0012,first_transaction_categorized,2024-10-14T10:03:17,35-44,annual,seo_organic
user_0012,first_budget_created,2024-10-14T10:34:52,35-44,annual,seo_organic
user_0012,bill_calendar_viewed,2024-10-14T10:48:52,35-44,annual,seo_organic
