response_id,timestamp,user_type,age_range,income_range,subscription_plan,uses_fintrack_mobile,mobile_satisfaction,wants_improved_mobile_app,mobile_importance,primary_mobile_use_case,feature_most_used,biggest_pain_point,would_pay_more_for_ai,competitor_also_used,additional_comments
1,2024-09-03 08:14:22,young_professional,22-29,$50k-$100k,annual,Yes,2,Yes,High,Check spending,Bank Sync,Bank sync breaks,Yes,None,The mobile app crashes at least once a week. Really frustrating when I'm trying to check my budget on the go.
2,2024-09-03 09:45:10,young_professional,30-39,$100k-$150k,annual,Yes,3,Yes,High,Track budget progress,Budget Goals,Mobile UX is slow,Maybe,Monarch Money,I switch between FinTrack and Monarch Money. FinTrack has better budgeting but Monarch's mobile app is way smoother.
3,2024-09-03 11:22:47,family,30-39,$100k-$150k,annual,Yes,2,Yes,Critical,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,My wife and I both use FinTrack but coordinating on the mobile app is a pain. We need better shared access.
4,2024-09-03 14:08:33,debt_payoff,22-29,$50k-$100k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Budget setup too complex,Maybe,YNAB,Switched from YNAB but honestly the budget setup here took me three hours to figure out.
5,2024-09-04 07:33:19,young_professional,22-29,$50k-$100k,annual,Yes,3,Yes,High,Check spending,AI Categorization,AI miscategorization,Yes,None,The AI keeps categorizing my meal prep groceries as dining out. Minor but adds up over a month.
6,2024-09-04 09:12:55,investor,40-49,$150k+,annual,Yes,2,Yes,Medium,View net worth,Net Worth Tracker,No investment tracking,Yes,Empower,I use Empower primarily for investment tracking since FinTrack just doesn't cut it there. Would consolidate if they improved it.
7,2024-09-04 10:55:30,family,30-39,$100k-$150k,annual,Yes,3,Maybe,High,Check bill calendar,Bill Calendar,Missing bill alerts,No,None,Would love push notifications for upcoming bills. I've missed two payments because the app didn't remind me.
8,2024-09-04 13:40:08,debt_payoff,22-29,Under $50k,monthly,Yes,2,Yes,Critical,Track budget progress,Budget Goals,Bank sync breaks,Yes,None,When bank sync fails I have no idea where I stand on my debt payoff goal. It's broken like twice a month.
9,2024-09-04 16:22:44,young_professional,30-39,$100k-$150k,annual,Yes,4,Maybe,High,Check spending,Bank Sync,Mobile UX is slow,Maybe,Copilot,App is decent but loads slowly on my commute. Would be a 5 if it were faster.
10,2024-09-05 08:05:17,family,40-49,$100k-$150k,annual,No,1,Yes,Low,Check bill calendar,Bill Calendar,Mobile UX is slow,No,None,Honestly stopped using the mobile app months ago. Just log in on my laptop now.
